position , intensity
-8.096   , 27
-8.085   , 27
-8.074   , 26
-8.063   , 25
-8.052   , 24
-8.041   , 24
-8.03    , 23
-8.019   , 23
-8.008   , 21
-7.997   , 21
-7.986   , 20
-7.975   , 20
-7.964   , 19
-7.953   , 19
-7.942   , 17
-7.931   , 17
-7.92    , 16
-7.909   , 16
-7.898   , 15
-7.887   , 15
-7.876   , 15
-7.865   , 14
-7.854   , 14
-7.843   , 14
-7.832   , 14
-7.821   , 14
-7.81    , 13
-7.799   , 13
-7.788   , 13
-7.777   , 13
-7.766   , 13
-7.755   , 13
-7.744   , 13
-7.733   , 13
-7.722   , 12
-7.711   , 13
-7.7     , 13
-7.689   , 13
-7.678   , 13
-7.667   , 13
-7.656   , 13
-7.645   , 13
-7.634   , 14
-7.623   , 14
-7.612   , 15
-7.601   , 15
-7.59    , 15
-7.579   , 16
-7.568   , 16
-7.557   , 17
-7.546   , 17
-7.535   , 19
-7.524   , 19
-7.513   , 20
-7.502   , 20
-7.491   , 21
-7.48    , 22
-7.469   , 22
-7.458   , 23
-7.447   , 24
-7.436   , 24
-7.425   , 25
-7.414   , 26
-7.403   , 27
-7.392   , 27
-7.381   , 27
-7.37    , 28
-7.359   , 29
-7.348   , 29
-7.337   , 30
-7.326   , 30
-7.315   , 32
-7.304   , 32
-7.293   , 33
-7.282   , 32
-7.271   , 34
-7.26    , 33
-7.249   , 34
-7.238   , 33
-7.227   , 34
-7.216   , 34
-7.205   , 34
-7.194   , 34
-7.183   , 34
-7.172   , 33
-7.161   , 33
-7.15    , 33
-7.139   , 32
-7.128   , 31
-7.117   , 31
-7.106   , 30
-7.095   , 30
-7.084   , 29
-7.073   , 29
-7.062   , 27
-7.051   , 27
-7.04    , 26
-7.029   , 26
-7.018   , 24
-7.007   , 24
-6.996   , 23
-6.985   , 22
-6.974   , 21
-6.963   , 21
-6.952   , 20
-6.941   , 19
-6.93    , 18
-6.919   , 18
-6.908   , 17
-6.897   , 16
-6.886   , 16
-6.875   , 15
-6.864   , 15
-6.853   , 14
-6.842   , 14
-6.831   , 14
-6.82    , 13
-6.809   , 13
-6.798   , 12
-6.787   , 13
-6.776   , 12
-6.765   , 12
-6.754   , 11
-6.743   , 11
-6.732   , 11
-6.721   , 11
-6.71    , 11
-6.699   , 11
-6.688   , 12
-6.677   , 11
-6.666   , 12
-6.655   , 12
-6.644   , 12
-6.633   , 12
-6.622   , 12
-6.611   , 12
-6.6     , 12
-6.589   , 13
-6.578   , 12
-6.567   , 13
-6.556   , 13
-6.545   , 13
-6.534   , 13
-6.523   , 14
-6.512   , 14
-6.501   , 14
-6.49    , 14
-6.479   , 15
-6.468   , 15
-6.457   , 15
-6.446   , 16
-6.435   , 16
-6.424   , 16
-6.413   , 16
-6.402   , 17
-6.391   , 17
-6.38    , 17
-6.369   , 18
-6.358   , 17
-6.347   , 18
-6.336   , 18
-6.325   , 18
-6.314   , 18
-6.303   , 18
-6.292   , 18
-6.281   , 19
-6.27    , 18
-6.259   , 19
-6.248   , 19
-6.237   , 18
-6.226   , 18
-6.215   , 18
-6.204   , 18
-6.193   , 18
-6.182   , 18
-6.171   , 18
-6.16    , 18
-6.149   , 18
-6.138   , 17
-6.127   , 17
-6.116   , 17
-6.105   , 17
-6.094   , 16
-6.083   , 16
-6.072   , 16
-6.061   , 16
-6.05    , 15
-6.039   , 15
-6.028   , 15
-6.017   , 14
-6.006   , 14
-5.995   , 14
-5.984   , 13
-5.973   , 13
-5.962   , 13
-5.951   , 12
-5.94    , 12
-5.929   , 12
-5.918   , 11
-5.907   , 11
-5.896   , 11
-5.885   , 11
-5.874   , 10
-5.863   , 11
-5.852   , 10
-5.841   , 10
-5.83    , 9
-5.819   , 10
-5.808   , 9
-5.797   , 9
-5.786   , 9
-5.775   , 9
-5.764   , 9
-5.753   , 9
-5.742   , 9
-5.731   , 9
-5.72    , 9
-5.709   , 8
-5.698   , 9
-5.687   , 9
-5.676   , 8
-5.665   , 8
-5.654   , 8
-5.643   , 9
-5.632   , 8
-5.621   , 9
-5.61    , 8
-5.599   , 8
-5.588   , 8
-5.577   , 8
-5.566   , 8
-5.555   , 8
-5.544   , 8
-5.533   , 8
-5.522   , 8
-5.511   , 8
-5.5     , 8
-5.489   , 8
-5.478   , 8
-5.467   , 8
-5.456   , 8
-5.445   , 8
-5.434   , 8
-5.423   , 8
-5.412   , 8
-5.401   , 9
-5.39    , 8
-5.379   , 9
-5.368   , 8
-5.357   , 8
-5.346   , 8
-5.335   , 8
-5.324   , 8
-5.313   , 8
-5.302   , 8
-5.291   , 8
-5.28    , 9
-5.269   , 8
-5.258   , 9
-5.247   , 8
-5.236   , 9
-5.225   , 9
-5.214   , 9
-5.203   , 9
-5.192   , 9
-5.181   , 9
-5.17    , 9
-5.159   , 9
-5.148   , 9
-5.137   , 10
-5.126   , 9
-5.115   , 10
-5.104   , 10
-5.093   , 10
-5.082   , 10
-5.071   , 10
-5.06    , 10
-5.049   , 10
-5.038   , 10
-5.027   , 10
-5.016   , 11
-5.005   , 11
-4.994   , 10
-4.983   , 10
-4.972   , 11
-4.961   , 11
-4.95    , 11
-4.939   , 11
-4.928   , 11
-4.917   , 11
-4.906   , 11
-4.895   , 11
-4.884   , 11
-4.873   , 11
-4.862   , 11
-4.851   , 11
-4.84    , 11
-4.829   , 11
-4.818   , 11
-4.807   , 11
-4.796   , 11
-4.785   , 11
-4.774   , 11
-4.763   , 11
-4.752   , 11
-4.741   , 11
-4.73    , 11
-4.719   , 11
-4.708   , 11
-4.697   , 12
-4.686   , 11
-4.675   , 12
-4.664   , 12
-4.653   , 13
-4.642   , 12
-4.631   , 13
-4.62    , 13
-4.609   , 14
-4.598   , 14
-4.587   , 15
-4.576   , 16
-4.565   , 16
-4.554   , 17
-4.543   , 17
-4.532   , 18
-4.521   , 19
-4.51    , 20
-4.499   , 21
-4.488   , 22
-4.477   , 23
-4.466   , 24
-4.455   , 26
-4.444   , 27
-4.433   , 28
-4.422   , 29
-4.411   , 30
-4.4     , 31
-4.389   , 33
-4.378   , 34
-4.367   , 35
-4.356   , 37
-4.345   , 38
-4.334   , 40
-4.323   , 41
-4.312   , 43
-4.301   , 43
-4.29    , 45
-4.279   , 46
-4.268   , 47
-4.257   , 49
-4.246   , 50
-4.235   , 51
-4.224   , 52
-4.213   , 54
-4.202   , 55
-4.191   , 56
-4.18    , 57
-4.169   , 57
-4.158   , 58
-4.147   , 59
-4.136   , 59
-4.125   , 60
-4.114   , 60
-4.103   , 60
-4.092   , 61
-4.081   , 61
-4.07    , 61
-4.059   , 62
-4.048   , 61
-4.037   , 62
-4.026   , 62
-4.015   , 62
-4.004   , 61
-3.993   , 61
-3.982   , 60
-3.971   , 61
-3.96    , 60
-3.949   , 59
-3.938   , 57
-3.927   , 58
-3.916   , 57
-3.905   , 56
-3.894   , 55
-3.883   , 54
-3.872   , 53
-3.861   , 52
-3.85    , 51
-3.839   , 49
-3.828   , 48
-3.817   , 47
-3.806   , 45
-3.795   , 44
-3.784   , 43
-3.773   , 42
-3.762   , 40
-3.751   , 39
-3.74    , 38
-3.729   , 37
-3.718   , 35
-3.707   , 35
-3.696   , 34
-3.685   , 34
-3.674   , 33
-3.663   , 32
-3.652   , 32
-3.641   , 32
-3.63    , 32
-3.619   , 32
-3.608   , 32
-3.597   , 33
-3.586   , 34
-3.575   , 34
-3.564   , 36
-3.553   , 37
-3.542   , 38
-3.531   , 41
-3.52    , 43
-3.509   , 45
-3.498   , 48
-3.487   , 51
-3.476   , 54
-3.465   , 58
-3.454   , 60
-3.443   , 64
-3.432   , 69
-3.421   , 73
-3.41    , 78
-3.399   , 83
-3.388   , 89
-3.377   , 94
-3.366   , 100
-3.355   , 104
-3.344   , 110
-3.333   , 115
-3.322   , 121
-3.311   , 125
-3.3     , 131
-3.289   , 137
-3.278   , 142
-3.267   , 148
-3.256   , 153
-3.245   , 158
-3.234   , 163
-3.223   , 166
-3.212   , 171
-3.201   , 174
-3.19    , 177
-3.179   , 183
-3.168   , 186
-3.157   , 189
-3.146   , 191
-3.135   , 193
-3.124   , 195
-3.113   , 197
-3.102   , 198
-3.091   , 199
-3.08    , 200
-3.069   , 200
-3.058   , 199
-3.047   , 200
-3.036   , 199
-3.025   , 197
-3.014   , 195
-3.003   , 194
-2.992   , 192
-2.981   , 189
-2.97    , 187
-2.959   , 185
-2.948   , 184
-2.937   , 180
-2.926   , 178
-2.915   , 175
-2.904   , 173
-2.893   , 172
-2.882   , 171
-2.871   , 169
-2.86    , 167
-2.849   , 163
-2.838   , 160
-2.827   , 156
-2.816   , 151
-2.805   , 147
-2.794   , 142
-2.783   , 140
-2.772   , 134
-2.761   , 131
-2.75    , 126
-2.739   , 123
-2.728   , 118
-2.717   , 113
-2.706   , 109
-2.695   , 105
-2.684   , 101
-2.673   , 97
-2.662   , 93
-2.651   , 90
-2.64    , 87
-2.629   , 84
-2.618   , 81
-2.607   , 79
-2.596   , 76
-2.585   , 75
-2.574   , 72
-2.563   , 73
-2.552   , 71
-2.541   , 71
-2.53    , 71
-2.519   , 72
-2.508   , 72
-2.497   , 75
-2.486   , 76
-2.475   , 79
-2.464   , 81
-2.453   , 85
-2.442   , 89
-2.431   , 94
-2.42    , 100
-2.409   , 106
-2.398   , 111
-2.387   , 116
-2.376   , 124
-2.365   , 130
-2.354   , 138
-2.343   , 145
-2.332   , 152
-2.321   , 163
-2.31    , 174
-2.299   , 183
-2.288   , 192
-2.277   , 203
-2.266   , 214
-2.255   , 226
-2.244   , 237
-2.233   , 251
-2.222   , 255
-2.211   , 255
-2.2     , 255
-2.189   , 255
-2.178   , 255
-2.167   , 255
-2.156   , 255
-2.145   , 255
-2.134   , 255
-2.123   , 255
-2.112   , 255
-2.101   , 255
-2.09    , 255
-2.079   , 255
-2.068   , 255
-2.057   , 255
-2.046   , 255
-2.035   , 255
-2.024   , 255
-2.013   , 255
-2.002   , 255
-1.991   , 255
-1.98    , 255
-1.969   , 255
-1.958   , 255
-1.947   , 255
-1.936   , 255
-1.925   , 255
-1.914   , 255
-1.903   , 255
-1.892   , 255
-1.881   , 255
-1.87    , 255
-1.859   , 255
-1.848   , 255
-1.837   , 255
-1.826   , 255
-1.815   , 249
-1.804   , 237
-1.793   , 232
-1.782   , 220
-1.771   , 213
-1.76    , 203
-1.749   , 194
-1.738   , 184
-1.727   , 177
-1.716   , 170
-1.705   , 164
-1.694   , 159
-1.683   , 155
-1.672   , 151
-1.661   , 149
-1.65    , 144
-1.639   , 141
-1.628   , 139
-1.617   , 136
-1.606   , 131
-1.595   , 130
-1.584   , 126
-1.573   , 124
-1.562   , 121
-1.551   , 119
-1.54    , 118
-1.529   , 116
-1.518   , 116
-1.507   , 117
-1.496   , 117
-1.485   , 118
-1.474   , 120
-1.463   , 124
-1.452   , 129
-1.441   , 134
-1.43    , 140
-1.419   , 147
-1.408   , 153
-1.397   , 161
-1.386   , 167
-1.375   , 176
-1.364   , 184
-1.353   , 197
-1.342   , 205
-1.331   , 216
-1.32    , 228
-1.309   , 237
-1.298   , 250
-1.287   , 255
-1.276   , 255
-1.265   , 255
-1.254   , 255
-1.243   , 255
-1.232   , 255
-1.221   , 255
-1.21    , 255
-1.199   , 255
-1.188   , 255
-1.177   , 255
-1.166   , 255
-1.155   , 255
-1.144   , 255
-1.133   , 255
-1.122   , 255
-1.111   , 255
-1.1     , 255
-1.089   , 255
-1.078   , 255
-1.067   , 255
-1.056   , 255
-1.045   , 255
-1.034   , 255
-1.023   , 255
-1.012   , 255
-1.001   , 255
-0.99    , 255
-0.979   , 255
-0.968   , 255
-0.957   , 255
-0.946   , 255
-0.935   , 255
-0.924   , 255
-0.913   , 255
-0.902   , 255
-0.891   , 255
-0.88    , 255
-0.869   , 255
-0.858   , 255
-0.847   , 255
-0.836   , 255
-0.825   , 255
-0.814   , 255
-0.803   , 255
-0.792   , 255
-0.781   , 255
-0.77    , 255
-0.759   , 255
-0.748   , 255
-0.737   , 255
-0.726   , 255
-0.715   , 255
-0.704   , 255
-0.693   , 252
-0.682   , 237
-0.671   , 229
-0.66    , 212
-0.649   , 204
-0.638   , 191
-0.627   , 186
-0.616   , 176
-0.605   , 171
-0.594   , 164
-0.583   , 159
-0.572   , 154
-0.561   , 151
-0.55    , 147
-0.539   , 148
-0.528   , 146
-0.517   , 148
-0.506   , 149
-0.495   , 151
-0.484   , 153
-0.473   , 159
-0.462   , 165
-0.451   , 169
-0.44    , 177
-0.429   , 184
-0.418   , 188
-0.407   , 195
-0.396   , 199
-0.385   , 206
-0.374   , 216
-0.363   , 224
-0.352   , 238
-0.341   , 248
-0.33    , 255
-0.319   , 255
-0.308   , 255
-0.297   , 255
-0.286   , 255
-0.275   , 255
-0.264   , 255
-0.253   , 255
-0.242   , 255
-0.231   , 255
-0.22    , 255
-0.209   , 255
-0.198   , 255
-0.187   , 255
-0.176   , 255
-0.165   , 255
-0.154   , 255
-0.143   , 255
-0.132   , 255
-0.121   , 255
-0.11    , 255
-0.099   , 255
-0.088   , 255
-0.077   , 255
-0.066   , 255
-0.055   , 255
-0.044   , 255
-0.033   , 255
-0.022   , 255
-0.011   , 255
0        , 255
0.011    , 255
0.022    , 255
0.033    , 255
0.044    , 255
0.055    , 255
0.066    , 255
0.077    , 255
0.088    , 255
0.099    , 255
0.11     , 255
0.121    , 255
0.132    , 255
0.143    , 255
0.154    , 255
0.165    , 255
0.176    , 255
0.187    , 255
0.198    , 255
0.209    , 255
0.22     , 255
0.231    , 255
0.242    , 255
0.253    , 255
0.264    , 255
0.275    , 255
0.286    , 255
0.297    , 255
0.308    , 255
0.319    , 255
0.33     , 255
0.341    , 255
0.352    , 255
0.363    , 248
0.374    , 232
0.385    , 218
0.396    , 203
0.407    , 193
0.418    , 181
0.429    , 175
0.44     , 166
0.451    , 159
0.462    , 155
0.473    , 150
0.484    , 147
0.495    , 146
0.506    , 147
0.517    , 147
0.528    , 152
0.539    , 154
0.55     , 160
0.561    , 163
0.572    , 170
0.583    , 177
0.594    , 187
0.605    , 194
0.616    , 205
0.627    , 215
0.638    , 228
0.649    , 237
0.66     , 251
0.671    , 255
0.682    , 255
0.693    , 255
0.704    , 255
0.715    , 255
0.726    , 255
0.737    , 255
0.748    , 255
0.759    , 255
0.77     , 255
0.781    , 255
0.792    , 255
0.803    , 255
0.814    , 255
0.825    , 255
0.836    , 255
0.847    , 255
0.858    , 255
0.869    , 255
0.88     , 255
0.891    , 255
0.902    , 255
0.913    , 255
0.924    , 255
0.935    , 255
0.946    , 255
0.957    , 255
0.968    , 255
0.979    , 255
0.99     , 255
1.001    , 255
1.012    , 255
1.023    , 255
1.034    , 255
1.045    , 255
1.056    , 255
1.067    , 255
1.078    , 255
1.089    , 255
1.1      , 255
1.111    , 255
1.122    , 255
1.133    , 255
1.144    , 255
1.155    , 255
1.166    , 255
1.177    , 255
1.188    , 255
1.199    , 255
1.21     , 255
1.221    , 255
1.232    , 255
1.243    , 255
1.254    , 255
1.265    , 255
1.276    , 255
1.287    , 255
1.298    , 255
1.309    , 255
1.32     , 255
1.331    , 255
1.342    , 255
1.353    , 255
1.364    , 255
1.375    , 255
1.386    , 255
1.397    , 255
1.408    , 255
1.419    , 247
1.43     , 231
1.441    , 216
1.452    , 200
1.463    , 185
1.474    , 169
1.485    , 160
1.496    , 147
1.507    , 141
1.518    , 131
1.529    , 126
1.54     , 121
1.551    , 119
1.562    , 116
1.573    , 116
1.584    , 117
1.595    , 118
1.606    , 123
1.617    , 127
1.628    , 133
1.639    , 137
1.65     , 144
1.661    , 151
1.672    , 162
1.683    , 171
1.694    , 181
1.705    , 191
1.716    , 201
1.727    , 211
1.738    , 221
1.749    , 230
1.76     , 243
1.771    , 250
1.782    , 255
1.793    , 255
1.804    , 255
1.815    , 255
1.826    , 255
1.837    , 255
1.848    , 255
1.859    , 255
1.87     , 255
1.881    , 255
1.892    , 255
1.903    , 255
1.914    , 255
1.925    , 255
1.936    , 255
1.947    , 255
1.958    , 255
1.969    , 255
1.98     , 255
1.991    , 255
2.002    , 255
2.013    , 255
2.024    , 255
2.035    , 255
2.046    , 255
2.057    , 255
2.068    , 255
2.079    , 255
2.09     , 255
2.101    , 255
2.112    , 255
2.123    , 255
2.134    , 255
2.145    , 255
2.156    , 255
2.167    , 255
2.178    , 255
2.189    , 255
2.2      , 255
2.211    , 255
2.222    , 255
2.233    , 255
2.244    , 255
2.255    , 255
2.266    , 255
2.277    , 255
2.288    , 255
2.299    , 255
2.31     , 255
2.321    , 255
2.332    , 255
2.343    , 250
2.354    , 241
2.365    , 236
2.376    , 228
2.387    , 223
2.398    , 211
2.409    , 204
2.42     , 195
2.431    , 188
2.442    , 179
2.453    , 174
2.464    , 163
2.475    , 157
2.486    , 149
2.497    , 141
2.508    , 132
2.519    , 127
2.53     , 117
2.541    , 111
2.552    , 105
2.563    , 99
2.574    , 92
2.585    , 86
2.596    , 81
2.607    , 77
2.618    , 74
2.629    , 72
2.64     , 70
2.651    , 69
2.662    , 68
2.673    , 69
2.684    , 70
2.695    , 71
2.706    , 74
2.717    , 76
2.728    , 81
2.739    , 85
2.75     , 90
2.761    , 96
2.772    , 103
2.783    , 108
2.794    , 114
2.805    , 119
2.816    , 126
2.827    , 131
2.838    , 138
2.849    , 145
2.86     , 150
2.871    , 156
2.882    , 162
2.893    , 166
2.904    , 171
2.915    , 174
2.926    , 180
2.937    , 184
2.948    , 188
2.959    , 190
2.97     , 191
2.981    , 195
2.992    , 198
3.003    , 198
3.014    , 198
3.025    , 200
3.036    , 201
3.047    , 202
3.058    , 201
3.069    , 201
3.08     , 198
3.091    , 201
3.102    , 197
3.113    , 197
3.124    , 193
3.135    , 192
3.146    , 187
3.157    , 186
3.168    , 184
3.179    , 181
3.19     , 177
3.201    , 172
3.212    , 168
3.223    , 166
3.234    , 163
3.245    , 162
3.256    , 159
3.267    , 155
3.278    , 153
3.289    , 151
3.3      , 149
3.311    , 145
3.322    , 141
3.333    , 138
3.344    , 132
3.355    , 127
3.366    , 124
3.377    , 120
3.388    , 117
3.399    , 112
3.41     , 108
3.421    , 103
3.432    , 98
3.443    , 95
3.454    , 90
3.465    , 87
3.476    , 83
3.487    , 79
3.498    , 74
3.509    , 71
3.52     , 66
3.531    , 63
3.542    , 60
3.553    , 57
3.564    , 54
3.575    , 51
3.586    , 48
3.597    , 46
3.608    , 43
3.619    , 41
3.63     , 39
3.641    , 38
3.652    , 36
3.663    , 35
3.674    , 33
3.685    , 33
3.696    , 31
3.707    , 31
3.718    , 30
3.729    , 29
3.74     , 30
3.751    , 29
3.762    , 30
3.773    , 30
3.784    , 31
3.795    , 32
3.806    , 32
3.817    , 34
3.828    , 35
3.839    , 37
3.85     , 38
3.861    , 40
3.872    , 42
3.883    , 44
3.894    , 45
3.905    , 47
3.916    , 49
3.927    , 51
3.938    , 52
3.949    , 54
3.96     , 56
3.971    , 57
3.982    , 59
3.993    , 59
4.004    , 61
4.015    , 62
4.026    , 62
4.037    , 63
4.048    , 63
4.059    , 64
4.07     , 64
4.081    , 63
4.092    , 63
4.103    , 63
4.114    , 61
4.125    , 61
4.136    , 60
4.147    , 60
4.158    , 59
4.169    , 58
4.18     , 57
4.191    , 55
4.202    , 54
4.213    , 53
4.224    , 51
4.235    , 50
4.246    , 48
4.257    , 47
4.268    , 45
4.279    , 44
4.29     , 42
4.301    , 41
4.312    , 39
4.323    , 38
4.334    , 36
4.345    , 35
4.356    , 33
4.367    , 32
4.378    , 31
4.389    , 30
4.4      , 29
4.411    , 27
4.422    , 26
4.433    , 25
4.444    , 24
4.455    , 23
4.466    , 22
4.477    , 22
4.488    , 21
4.499    , 20
4.51     , 20
4.521    , 19
4.532    , 19
4.543    , 18
4.554    , 17
4.565    , 17
4.576    , 16
4.587    , 16
4.598    , 14
4.609    , 14
4.62     , 14
4.631    , 13
4.642    , 13
4.653    , 12
4.664    , 12
4.675    , 12
4.686    , 11
4.697    , 11
4.708    , 11
4.719    , 11
4.73     , 11
4.741    , 11
4.752    , 10
4.763    , 11
4.774    , 10
4.785    , 11
4.796    , 10
4.807    , 11
4.818    , 10
4.829    , 11
4.84     , 10
4.851    , 10
4.862    , 10
4.873    , 10
4.884    , 10
4.895    , 10
4.906    , 10
4.917    , 10
4.928    , 11
4.939    , 10
4.95     , 11
4.961    , 10
4.972    , 11
4.983    , 11
4.994    , 11
5.005    , 11
5.016    , 10
5.027    , 11
5.038    , 10
5.049    , 11
5.06     , 10
5.071    , 11
5.082    , 10
5.093    , 11
5.104    , 10
5.115    , 10
5.126    , 10
5.137    , 10
5.148    , 10
5.159    , 10
5.17     , 10
5.181    , 9
5.192    , 9
5.203    , 9
5.214    , 9
5.225    , 9
5.236    , 9
5.247    , 9
5.258    , 8
5.269    , 9
5.28     , 8
5.291    , 8
5.302    , 8
5.313    , 8
5.324    , 8
5.335    , 8
5.346    , 8
5.357    , 8
5.368    , 8
5.379    , 8
5.39     , 8
5.401    , 7
5.412    , 8
5.423    , 7
5.434    , 8
5.445    , 8
5.456    , 8
5.467    , 8
5.478    , 7
5.489    , 8
5.5      , 7
5.511    , 8
5.522    , 7
5.533    , 8
5.544    , 8
5.555    , 8
5.566    , 8
5.577    , 8
5.588    , 8
5.599    , 8
5.61     , 8
5.621    , 8
5.632    , 8
5.643    , 8
5.654    , 8
5.665    , 8
5.676    , 9
5.687    , 9
5.698    , 9
5.709    , 9
5.72     , 9
