n , l450              , l520              , l600
1 , 0.145             , 0.974489795918367 , 0.671428571428571                        
2 , 0.020833333333333 , 0.755434782608696 , 0.446969696969697
3 , 0                 , 0.647727272727273 , 0.293650793650794                                
4 , 0                 , 0.55421686746988  , 0.194915254237288
