"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
380             , 0.187398302718
382             , 0.139110605098
384             , 0.100562965139
386             , 0.0872754102212
388             , 0.0757508890879
390             , 0.0521240027073
392             , 0.0527294542652
394             , 0.0515877798924
396             , 0.0412907594904
398             , 0.0434977730025
400             , 0.0418187778149
402             , 0.0385655301583
404             , 0.043418578647
406             , 0.0374299697365
408             , 0.0378733599869
410             , 0.0385117070794
412             , 0.0389228151331
414             , 0.0401137776432
416             , 0.0443033735718
418             , 0.0443039622288
420             , 0.0442157557123
422             , 0.0444309072173
424             , 0.0448045935511
426             , 0.0489762580334
428             , 0.0470341424752
430             , 0.0530182590499
432             , 0.0574548694287
434             , 0.0558152145105
436             , 0.0623371429202
438             , 0.0645051714441
440             , 0.0663759448635
442             , 0.0697364961335
444             , 0.0726137079773
446             , 0.0786490768535
448             , 0.0801644912514
450             , 0.0846198475644
452             , 0.0926687638609
454             , 0.0943884638165
456             , 0.104997831538
458             , 0.110176414303
460             , 0.115488110545
462             , 0.126674217756
464             , 0.136587782011
466             , 0.143683871669
468             , 0.158043259082
470             , 0.168484835868
472             , 0.185021038563
474             , 0.193852530435
476             , 0.212162830654
478             , 0.227687323572
480             , 0.243918483868
482             , 0.260662112821
484             , 0.278589144906
486             , 0.294802868445
488             , 0.314208324676
490             , 0.332932242548
492             , 0.351575492199
494             , 0.368091707414
496             , 0.385437556564
498             , 0.399222113215
500             , 0.416916050687
502             , 0.436102466314
504             , 0.455322223719
506             , 0.476947863878
508             , 0.501876177003
510             , 0.52129939236
512             , 0.541582647928
514             , 0.561059090085
516             , 0.580919655056
518             , 0.599336029439
520             , 0.620284238584
522             , 0.634737082036
524             , 0.655476536372
526             , 0.671214668683
528             , 0.68145430833
530             , 0.693498039185
532             , 0.698674816188
534             , 0.701561258433
536             , 0.697814159127
538             , 0.690418964345
540             , 0.681143293716
542             , 0.667900922149
544             , 0.653526327887
546             , 0.637200721403
548             , 0.622058237111
550             , 0.605911570162
552             , 0.592770496803
554             , 0.581062924474
556             , 0.577878549693
558             , 0.578632242923
560             , 0.584994358697
562             , 0.597012471123
564             , 0.615898369327
566             , 0.635720651128
568             , 0.664479652903
570             , 0.694248319757
572             , 0.726994384837
574             , 0.768202619845
576             , 0.807785263693
578             , 0.853261067379
580             , 0.901198182337
582             , 0.943230655782
584             , 0.991086637521
586             , 1.02591644409
588             , 1.06541103042
590             , 1.09205514466
592             , 1.10643305019
594             , 1.11224407992
596             , 1.10549511097
598             , 1.10287202215
600             , 1.09411638907
602             , 1.08109258469
604             , 1.07595806316
606             , 1.07025331276
608             , 1.06778356171
610             , 1.05638583193
612             , 1.05465951101
614             , 1.05227428693
616             , 1.05476779436
618             , 1.05577832336
620             , 1.05755489004
622             , 1.0585446692
624             , 1.06385657036
626             , 1.07222288156
628             , 1.07680655176
630             , 1.08662386756
632             , 1.0951850493
634             , 1.10427982806
636             , 1.11472208143
638             , 1.11931613782
640             , 1.12942273826
642             , 1.13730762167
644             , 1.13920385426
646             , 1.13850941092
648             , 1.13836248361
650             , 1.13145751418
652             , 1.12413587541
654             , 1.10888120824
656             , 1.09477822924
658             , 1.07825630181
660             , 1.05381702113
662             , 1.02895289081
664             , 1.00360954471
666             , 0.975136135809
668             , 0.940534454789
670             , 0.907418691099
672             , 0.870242841273
674             , 0.831719521256
676             , 0.791958202838
678             , 0.752027573095
680             , 0.711302017827
682             , 0.67214657344
684             , 0.637183947
686             , 0.601851362724
688             , 0.56560870291
690             , 0.534190767918
692             , 0.504298719864
694             , 0.478297873111
696             , 0.454670931557
698             , 0.433908739208
700             , 0.41507151769
702             , 0.399568599769
704             , 0.387570316285
706             , 0.376750877223
708             , 0.365392137514
710             , 0.357691046772
712             , 0.350776695832
714             , 0.345315054186
716             , 0.340623801136
718             , 0.336666585838
720             , 0.332447992186
722             , 0.327165658367
724             , 0.329716905546
726             , 0.325522289871
728             , 0.323364650731
730             , 0.323159160832
732             , 0.321668336039
734             , 0.322328859061
736             , 0.322396195329
738             , 0.320755361226
740             , 0.32065335601
742             , 0.320831742231
744             , 0.321469319131
746             , 0.32086728688
748             , 0.321401849459
750             , 0.321241768373
752             , 0.321223678724
754             , 0.323190950423
756             , 0.3254752739
758             , 0.324003021121
760             , 0.323591734779
762             , 0.323682325834
764             , 0.325502499266
766             , 0.325676962994
768             , 0.32482449123
770             , 0.326442527125
772             , 0.327178817393
774             , 0.326358718643
776             , 0.328400345381
778             , 0.326778653822
780             , 0.327352473867
782             , 0.326925515604
784             , 0.3260695636
786             , 0.323758001424
788             , 0.326281725601
790             , 0.32648136367
792             , 0.324275092498
794             , 0.325348557654
796             , 0.324160233363
798             , 0.323706027311
800             , 0.323622248657
802             , 0.322562782513
804             , 0.322680421109
806             , 0.323315586325
808             , 0.321208153371
810             , 0.322387513566
812             , 0.320062835661
814             , 0.319957706606
816             , 0.319422001859
818             , 0.3184690733
820             , 0.319506908299
822             , 0.317348961391
824             , 0.317312416066
826             , 0.315921597477
828             , 0.316255311456
830             , 0.312602103409
832             , 0.314040398855
834             , 0.311271860029
836             , 0.310923731661
838             , 0.309644428471
840             , 0.307524984898
842             , 0.307960318466
844             , 0.30649598043
846             , 0.305182215114
848             , 0.303783450531
850             , 0.303081974871
852             , 0.30201532689
854             , 0.300892412394
856             , 0.298677762543
858             , 0.298757170204
860             , 0.297262721594
862             , 0.296308917179
864             , 0.29635602864
866             , 0.291103261515
868             , 0.293233385756
870             , 0.291520776477
872             , 0.290391601065
874             , 0.287848706349
