"Poslední měření: Vlnová délka (nm)" , "Poslední měření: Absorbance"
380             , 3
382             , 3
384             , 3
386             , 3
388             , 3
390             , 3
392             , 3
394             , 3
396             , 3
398             , 3
400             , 3
402             , 3
404             , 3
406             , 3
408             , 3
410             , 3
412             , 3
414             , 3
416             , 3
418             , 3
420             , 3
422             , 3
424             , 3
426             , 3
428             , 3
430             , 3
432             , 3
434             , 3
436             , 3
438             , 3
440             , 3
442             , 3
444             , 3
446             , 3
448             , 3
450             , 3
452             , 2.86305612997
454             , 2.44807719486
456             , 2.13325271772
458             , 1.92973132884
460             , 1.77041371518
462             , 1.64302659682
464             , 1.51917830158
466             , 1.41969148704
468             , 1.34453325946
470             , 1.25778747093
472             , 1.19926447258
474             , 1.13111338459
476             , 1.07499703691
478             , 1.02260800535
480             , 0.971905767894
482             , 0.924017370919
484             , 0.891900765757
486             , 0.851449157561
488             , 0.823701641286
490             , 0.793372211337
492             , 0.767509196519
494             , 0.744729445777
496             , 0.723731381698
498             , 0.699351218128
500             , 0.680052632123
502             , 0.666600253006
504             , 0.649702226262
506             , 0.64495274079
508             , 0.634373633175
510             , 0.627861353954
512             , 0.622167067688
514             , 0.619727567402
516             , 0.618571775972
518             , 0.614630906262
520             , 0.614745813627
522             , 0.616614626282
524             , 0.620527427845
526             , 0.619158961434
528             , 0.622686432769
530             , 0.624651500538
532             , 0.626172028232
534             , 0.625708110984
536             , 0.62499246031
538             , 0.622625872868
540             , 0.620786877123
542             , 0.622241630282
544             , 0.617820189575
546             , 0.615159518681
548             , 0.613624008729
550             , 0.611574497534
552             , 0.615647365219
554             , 0.619072685907
556             , 0.628248665102
558             , 0.638787520406
560             , 0.653794456318
562             , 0.671628237122
564             , 0.691201672429
566             , 0.71791353083
568             , 0.749131048207
570             , 0.783375217291
572             , 0.818550595547
574             , 0.855081853037
576             , 0.894623104672
578             , 0.940365750655
580             , 0.988568374898
582             , 1.03105321971
584             , 1.07518960388
586             , 1.1221917569
588             , 1.16954472894
590             , 1.20531103427
592             , 1.23395990048
594             , 1.26685986155
596             , 1.28369874999
598             , 1.30734954587
600             , 1.3341858578
602             , 1.35627464736
604             , 1.38212686197
606             , 1.38694684706
608             , 1.41847214677
610             , 1.43690832524
612             , 1.46906857838
614             , 1.49170531197
616             , 1.51059452746
618             , 1.54540972999
620             , 1.57059661806
622             , 1.59068791302
624             , 1.62337608042
626             , 1.649902279
628             , 1.67179556407
630             , 1.69882482233
632             , 1.73167880674
634             , 1.76300610436
636             , 1.7900008761
638             , 1.8164879446
640             , 1.83872284563
642             , 1.83913898881
644             , 1.85399228588
646             , 1.8676194968
648             , 1.88944187689
