lambda , cervene         , modre           , tm_cervene      , zelene         , zlute
756    , 0.0313868344104 , 0.3254752739    , 0.0237262143638 , 1.52931390205  , 0.0267943067093
758    , 0.0292170906926 , 0.324003021121  , 0.023593946419  , 1.51563592539  , 0.0245871222508
760    , 0.0300855342886 , 0.323591734779  , 0.0230128220303 , 1.50758529686  , 0.0248404237354
762    , 0.0295288615837 , 0.323682325834  , 0.0225573502105 , 1.49997753642  , 0.0247805559193
764    , 0.0322915474247 , 0.325502499266  , 0.0255273018219 , 1.50192595916  , 0.0270225891687
766    , 0.0316219556964 , 0.325676962994  , 0.0239480193627 , 1.49907663635  , 0.0270662135115
768    , 0.0313955851825 , 0.32482449123   , 0.0233890798774 , 1.49803266477  , 0.0268969010357
770    , 0.0316407309366 , 0.326442527125  , 0.024172163235  , 1.50135945783  , 0.0275903656176
772    , 0.033452894805  , 0.327178817393  , 0.025562091921  , 1.49980236432  , 0.0294977056985
774    , 0.0338704130128 , 0.326358718643  , 0.0264569026464 , 1.49809252442  , 0.029441575587
776    , 0.0348434562822 , 0.328400345381  , 0.0273104503439 , 1.4967281222   , 0.0314335162523
778    , 0.0341710597636 , 0.326778653822  , 0.0268129683517 , 1.49453886453  , 0.0309118623434
780    , 0.0335668700158 , 0.327352473867  , 0.0251633923693 , 1.49728422587  , 0.0294560112959
782    , 0.0341696876211 , 0.326925515604  , 0.0262927819887 , 1.48973451534  , 0.0313045233334
784    , 0.0341004246439 , 0.3260695636    , 0.0255375264211 , 1.488112167    , 0.0309084038811
786    , 0.0337480367372 , 0.323758001424  , 0.0253368436363 , 1.47769980013  , 0.0310786470864
788    , 0.0340437125951 , 0.326281725601  , 0.0261029034937 , 1.47794134215  , 0.0327226379891
790    , 0.0353032098794 , 0.32648136367   , 0.0263412126358 , 1.47195769317  , 0.0337731885402
792    , 0.0345047413826 , 0.324275092498  , 0.0265884666736 , 1.47619885796  , 0.0336486445858
794    , 0.0356155946648 , 0.325348557654  , 0.0268434846807 , 1.46791263563  , 0.0342658746499
796    , 0.0352740825895 , 0.324160233363  , 0.0273283403885 , 1.46577537186  , 0.0345016880411
798    , 0.0362848960437 , 0.323706027311  , 0.0273324866164 , 1.46705936771  , 0.0353661697656
800    , 0.0359816864777 , 0.323622248657  , 0.0266263668346 , 1.46528839006  , 0.0349506013807
802    , 0.0370413302129 , 0.322562782513  , 0.0271927436765 , 1.46010403112  , 0.0349349257531
804    , 0.0368691305255 , 0.322680421109  , 0.0281471366302 , 1.45852642814  , 0.036290383179
806    , 0.0372600854215 , 0.323315586325  , 0.0274864324293 , 1.45095869665  , 0.0356536835206
808    , 0.0377175146838 , 0.321208153371  , 0.027109635511  , 1.44259771375  , 0.0346927112507
810    , 0.0397264170824 , 0.322387513566  , 0.02889171107   , 1.45026396229  , 0.0374324983245
812    , 0.0392045212126 , 0.320062835661  , 0.0279211560025 , 1.43939941446  , 0.0362179621425
814    , 0.0381332128448 , 0.319957706606  , 0.028433861337  , 1.43883102337  , 0.0378109554882
816    , 0.0391101234423 , 0.319422001859  , 0.0290951193787 , 1.44310285007  , 0.0373006363978
818    , 0.0397963161919 , 0.3184690733    , 0.0299805907651 , 1.43185764508  , 0.0380098218245
