prouzek , mv    , v
1       , 6.44  , 8.27
2       , 5.34  , 7.18
3       , 4.26  , 6.10
4       , 3.16  , 5.00
5       , 2.09  , 3.93
6       , 0.96  , 2.81
7       , -0.07 , 1.69
