U    , I
0    , -3.105534E-10
0.01 , 9.730043E-09
0.02 , 2.402528E-08
0.03 , 4.478433E-08
0.04 , 7.419464E-08
0.05 , 1.108789E-07
0.06 , 1.759020E-07
0.07 , 2.593779E-07
0.08 , 3.738458E-07
0.09 , 5.291059E-07
0.1  , 7.307891E-07
0.11 , 9.888143E-07
0.12 , 1.319463E-06
0.13 , 1.697404E-06
0.14 , 2.126856E-06
0.15 , 2.587031E-06
0.16 , 3.047678E-06
0.17 , 3.494511E-06
0.18 , 3.896685E-06
0.19 , 4.251032E-06
0.2  , 4.545521E-06
0.21 , 4.791501E-06
0.22 , 4.983325E-06
0.23 , 5.137386E-06
0.24 , 5.250865E-06
0.25 , 5.338341E-06
0.26 , 5.428616E-06
0.27 , 5.471870E-06
0.28 , 5.472104E-06
0.29 , 5.531658E-06
0.3  , 5.550360E-06
0.31 , 5.571361E-06
0.32 , 5.583445E-06
0.33 , 5.592417E-06
0.34 , 5.602537E-06
0.35 , 5.611823E-06
0.36 , 5.614040E-06
0.37 , 5.602211E-06
0.38 , 5.601336E-06
0.39 , 5.608662E-06
0.4  , 5.610040E-06
0.41 , 5.576486E-06
0.42 , 5.587567E-06
0.43 , 5.592216E-06
0.44 , 5.635179E-06
0.45 , 5.634699E-06
0.46 , 5.638763E-06
0.47 , 5.644952E-06
0.48 , 5.639808E-06
0.49 , 5.579150E-06
0.5  , 5.656348E-06
0.51 , 5.643199E-06
0.52 , 5.676643E-06
0.53 , 5.652377E-06
0.54 , 5.675011E-06
0.55 , 5.675608E-06
0.56 , 5.665893E-06
0.57 , 5.676202E-06
0.58 , 5.672946E-06
0.59 , 5.683389E-06
0.6  , 5.683106E-06
0.61 , 5.619628E-06
0.62 , 5.688357E-06
0.63 , 5.680662E-06
0.64 , 5.684409E-06
0.65 , 5.691260E-06
0.66 , 5.702211E-06
0.67 , 5.696105E-06
0.68 , 5.687175E-06
0.69 , 5.695182E-06
0.7  , 5.702257E-06
0.71 , 5.701716E-06
0.72 , 5.704802E-06
0.73 , 5.705625E-06
0.74 , 5.708251E-06
0.75 , 5.713324E-06
0.76 , 5.712025E-06
0.77 , 5.718466E-06
0.78 , 5.719172E-06
0.79 , 5.722755E-06
0.8  , 5.721407E-06
0.81 , 5.716717E-06
0.82 , 5.714619E-06
0.83 , 5.719035E-06
0.84 , 5.722791E-06
0.85 , 5.718568E-06
0.86 , 5.723527E-06
0.87 , 5.726318E-06
0.88 , 5.729402E-06
0.89 , 5.727872E-06
0.9  , 5.7344000E-06
0.91 , 5.7329100E-06
0.92 , 5.7374100E-06
0.93 , 5.7420670E-06
0.94 , 5.7399630E-06
0.95 , 5.6952650E-06
0.96 , 5.8185020E-06
0.97 , 5.7919060E-06
0.98 , 5.7955890E-06
0.99 , 5.7891330E-06
1    , 5.7927680E-06
